"astro-ph/9403009","Andreas Burkert","Andi Burkert","On the Formation of Elliptical Galaxies","12 pages, Latex; 6 Figs available upon request. Submitted to MNRAS",,,,"astro-ph",,"  It is shown that the violent relaxation of dissipationless stellar systems
leads to universal de Vaucouleurs profiles only outside 1.5 effective radii
$R_e$. Inside $1.5 R_e$ the surface density profiles depend strongly on the
initial conditions and are in general not in agreement with the de Vaucouleurs
law. This result is in contradiction to the observations which show that all
elliptical galaxies have de Vaucouleurs profiles inside $1.5 R_e$ and show
strong deviations outside $1.5 R_e$. The $r^{1/4}$-profiles of E-galaxies are
therefore not a direct result of collisionless violent relaxation and angular
momentum redistribution. It is rather a universal initial density profile which
is required in order to explain the universal structure of E-galaxies. A new
model for the formation of E-galaxies is presented which assumes that
ellipticals and bulges formed from isothermal, gaseous spheres which
accumulated in the core regions of dark matter halos and condensed into stars
through a cooling instability. This scenario predicts that early type galaxies
trace directly the core radii and core masses of their dark matter halos,
providing important information on the nature of the dark matter component in
galaxies.
","[{""version"":""v1"",""created"":""Mon, 7 Mar 1994 11:17:22 GMT""}]","2007-05-23"
"astro-ph/9403010",,"S.Borgani, V.J. Martinez, M.A.Perez, R.Valdarnini","Is there any Scaling in the Cluster Distribution ?","LaTeX, 26 pages + 11 figures available on request, DFUPG-94-10",,"10.1086/174791",,"astro-ph",,"  We apply fractal analysis methods to investigate the scaling properties in
the Abell and ACO catalogs of rich galaxy clusters. We also discuss different
technical aspects of the method when applied to data sets with small number of
points as the cluster catalogs. Results are compared with simulations based on
the Zel'dovich approximation. We limit our analysis to scales less than 100
$\hm$. The cluster distribution show a scale invariant multifractal behavior in
a limited scale range. For the Abell catalog this range is 15--60$\hm$, while
for the ACO sample it extends to smaller scales. Despite this difference in the
extension of the scale--range where scale--invariant clustering takes place,
both samples are characterized by remarkably similar multifractal spectra in
the corresponding scaling regime. In particular, the correlation dimension
turns out to be $D_2\simeq 2.2$ for both Abell and ACO clusters. Although it is
difficult to point out the scale at which homogeneity is reached with the
present size of these redshift surveys, our results indicate that the cluster
distribution shows a tendency to homogeneity at large scales, disproving the
picture of a pure scale invariant fractal structure extending to arbitrarily
large distances.
","[{""version"":""v1"",""created"":""Mon, 7 Mar 1994 11:33:45 GMT""}]","2009-10-22"
"cond-mat/9403022","William Putikka","P. J. Hirschfeld, W. O. Putikka and D. J. Scalapino","d-Wave Model for Microwave Response of High-Tc Superconductors","33 pages, plain TeX including all macros. 16 uuencoded, compressed
  postscript figures are appended at the end",,"10.1103/PhysRevB.50.10250",,"cond-mat",,"  We develop a simple theory of the electromagnetic response of a d- wave
superconductor in the presence of potential scatterers of arbitrary s-wave
scattering strength and inelastic scattering by antiferromagnetic spin
fluctuations. In the clean London limit, the conductivity of such a system may
be expressed in ""Drude"" form, in terms of a frequency-averaged relaxation time.
We compare predictions of the theory with recent data on YBCO and BSSCO
crystals and on YBCO films. While fits to penetration depth measurements are
promising, the low temperature behavior of the measured microwave conductivity
appears to be in disagreement with our results. We discuss implications for
d-wave pairing scenarios in the cuprate superconductors.
","[{""version"":""v1"",""created"":""Sun, 6 Mar 1994 22:40:01 GMT""},{""version"":""v2"",""created"":""Fri, 11 Mar 1994 17:41:20 GMT""}]","2009-10-22"
"cond-mat/9403023","Lev Ioffe","L. B. Ioffe, D. Lidsky, B. L. Altshuler","Effective lowering of the dimensionality in strongly correlated two
  dimensional electron gas","4 pages",,,,"cond-mat",,"  We study a system of fermions interacting with a gauge field which can be
used to describe either spin liquid or $\nu=1/2$ Quantum Hall state. We propose
a generalized model with a dimensionless parameter $N$. We evaluate the
properties of the model in both limits $N \gg 1$ and $N \ll 1$ and deduce the
properties of the model in the most physically intersting case of $N=1,2$. At
$N \ll 1$ the motion of the fermions becomes one dimensional. This allows us to
obtain the fermion Green function and response functions applying bozonization
method in this limit.
","[{""version"":""v1"",""created"":""Mon, 7 Mar 1994 04:38:27 GMT""}]","2007-05-23"
"funct-an/9403003","Ken Dykema","Kenneth J. Dykema","Crossed product decompositions of a purely infinite von Neumann algebra
  with faithful, almost periodic weight","14 pages, AMSTeX 2.1, 006","Indiana Univ. Math. J. 44 (1995) p.433-450",,,"funct-an math.OA",,"  For $\MvN$ a separable, purely infinite von Neumann algebra with almost
periodic weight $\phi$, a decomposition of $\MvN$ as a crossed product of a
semifinite von Neumann algebra by a trace--scaling action of a countable
abelian group is given. Then Takasaki's continuous decomposition of the same
algebra is related to the above discrete decomposition via Takesaki's notion of
induced action, but here one induces up from a dense subgroup. The above
results are used to give a model for the one--parameter trace--scaling action
of $\Real_+$ on the injective II$_\infty$ factor. Finally, another model of the
same action, due to work of Aubert and explained by Jones, is described.
","[{""version"":""v1"",""created"":""Mon, 7 Mar 1994 05:10:30 GMT""}]","2008-02-03"
"hep-ph/9403232",,"J. Mourad and H. Sazdjian","The two-fermion relativistic wave equations of Constraint Theory in the
  Pauli-Schr\""odinger form","49 pages, REVTEX, 2 figures (available from the authors), preprint
  IPNO/TH 94-5 and LPTHE 94/16","J.Math.Phys. 35 (1994) 6379-6406","10.1063/1.530681",,"hep-ph",,"  The two-fermion relativistic wave equations of Constraint Theory are reduced,
after expressing the components of the $4\times 4$ matrix wave function in
terms of one of the $2\times 2$ components, to a single equation of the
Pauli-Schr\""odinger type, valid for all sectors of quantum numbers. The
potentials that are present belong to the general classes of scalar,
pseudoscalar and vector interactions and are calculable in perturbation theory
from Feynman diagrams. In the limit when one of the masses becomes infinite,
the equation reduces to the two-component form of the one-particle Dirac
equation with external static potentials. The Hamiltonian, to order $1/c^2$,
reproduces most of the known theoretical results obtained by other methods. The
gauge invariance of the wave equation is checked, to that order, in the case of
QED. The role of the c.m. energy dependence of the relativistic interquark
confining potential is emphasized and the structure of the Hamiltonian, to
order $1/c^2$, corresponding to confining scalar potentials, is displayed.
","[{""version"":""v1"",""created"":""Mon, 7 Mar 1994 09:29:08 GMT""}]","2009-10-28"
"hep-ph/9403233","Johan Bijnens","Johan Bijnens and Joaquim Prades","Two- and Three-Point Functions in the Extended NJL Model","Latex, 42 pages, 3 latex figures, 7 postscript figures included,
  NORDITA 94/11 N,P. Improvement in the regularization procedure for the PVV
  three point function","Z.Phys.C64:475-494,1994","10.1007/BF01560109",,"hep-ph nucl-th",,"  The two-point functions in generalized Nambu--Jona-Lasinio models are
calculated to all orders in momenta and quark masses to leading order in
$1/N_c$. The use of Ward identities and the heat-kernel expansion allows for a
large degree of regularization independence. We also show how this approach
works to the same order for three-point functions on the example of the
vector-pseudoscalar-pseudoscalar three-point function. The inclusion of the
chiral anomaly effects at this level is shown by calculating the
pseudoscalar-vector-vector three-point function to the same order. Finally we
comment on how (vector-)meson-dominance comes out in the presence of explicit
chiral symmetry breaking in both the anomalous and the non-anomalous sectors.
","[{""version"":""v1"",""created"":""Mon, 7 Mar 1994 12:10:31 GMT""},{""version"":""v2"",""created"":""Fri, 15 Apr 1994 11:49:41 GMT""}]","2011-03-31"
"hep-ph/9403234","Nils A. Tornqvist","Nils A. T\""ornqvist","How to Parametrize an S-Wave Resonance and How to Identify Two-Hadron
  Composites","10 pages in Latex + 2 figures available on request. Helsinki preprint
  HU-SEFT R 1994-03","Phys.Rev. D51 (1995) 5312-5315","10.1103/PhysRevD.51.5312",,"hep-ph",,"  The question of how one can distinguish quark model states from 2-hadron
states near an S-wave theshold is discussed, and the usefulness of the running
mass is emphasized as the meeting ground for experiment and theory and for
defining resonance parameters.
","[{""version"":""v1"",""created"":""Mon, 7 Mar 1994 12:13:25 GMT""}]","2009-10-28"
"hep-ph/9403235",,"G. D'Ambrosio, G. Isidori, A. Pugliese and N. Paver","Strong rescattering in K-> 3pi decays and low-energy meson dynamics","14 pages in RevTex, 3 figures in postscript","Phys.Rev.D50:5767,1994; Erratum-ibid.D51:3975,1995;
  Phys.Rev.D51:3975,1995","10.1103/PhysRevD.50.5767 10.1103/PhysRevD.51.3975","University of Rome ""La Sapienza"", N. 998","hep-ph",,"  We present a consistent analysis of final state interactions in
${K\rightarrow 3\pi}$ decays in the framework of Chiral Perturbation Theory.
The result is that the kinematical dependence of the rescattering phases cannot
be neglected. The possibility of extracting the phase shifts from future
$K_S-K_L$ interference experiments is also analyzed.
","[{""version"":""v1"",""created"":""Mon, 7 Mar 1994 14:05:30 GMT""}]","2014-11-17"
"hep-ph/9403236",,"V.Barone, M.Genovese, N.N.Nikolaev, E.Predazzi and B.G.Zakharov","Leptoproduction of charm revisited","9 pages, DFTT 72/93","Phys.Lett. B328 (1994) 143-148","10.1016/0370-2693(94)90442-1",,"hep-ph",,"  We calculate the energy--momentum distribution of the charmed quarks produced
in neutrino reactions on protons, quantifying the importance of mass and
current non--conservation effects. We study the strange and charm distributions
probed in neutrino interactions in the presently accessible kinematical region.
Some ambiguities inherent to the extraction of the parton densities from dimuon
data are pointed out.
","[{""version"":""v1"",""created"":""Mon, 7 Mar 1994 14:34:42 GMT""}]","2009-10-28"
